TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
443263	你又不是不知道我都是下午才去睡觉，现在对我来说就是凌晨四点。	
443264	找我到底有什么事，该不会是因为周末要和朋友出去玩，期待得睡不着才要找人聊天吧？如果是那样我可不会陪你。	
443265	辉火大人缺勤的日数很多，老师大人很头疼，所以想知道原因。	
443266	这还要问吗，当然是因为睡眠不足了，财团X三天两头就换色出个限定版，不通宵怎么拼得过来。	
443267	班长希望辉火大人能来上学，拜托我来劝说辉火大人。	
443268	还不是因为那个班长总是盯着我，不得已才要请假的吗，现在又想着把别人喊回去上学，可真够随性的。不过也得谢谢她，毕竟在床上睡可比趴在桌子上舒服多了。	
443269	被班长拜托了，朋友的请求，一定要办到。	
443270	直接跟她说办不到就好了，既然是朋友，有那么一两件事办不成也会体谅一下吧。	
443271	明天还有十多盒网络限定的模型等着我呢，去学校纯属浪费时间。	
443272	可是……	
443273	我困了，这件事以后再说吧，晚安。	
443274	……	
443275	朋友的拜托，一定要办到。	
443276	——午休，教室	
443277	明天早上十点集合去海滩，不要忘记了！对了，到时可不许一直瞄着芽衣的泳装，就算是朋友也不行！	
443278	如果这样的话……不行，这样对辉火大人是没有效果的。	
443279	喂，本小姐特地过来提醒你，怎么不理人呀！	
443280	对不起，刚刚走神了。	
443281	走神？我懂了，一定是因为数学课太无聊了。本小姐有时也会这样，这次就原谅你啦~	
443282	今天看你总是一副心神不宁的样子，是遇到了什么烦心事吗？	
443283	要是不嫌弃，不如让我来帮忙吧？	
443284	本小姐也参一脚好啦，毕竟芽衣的事就是本小姐的事。 	
443285	真的可以吗？	
443286	那当然了，本小姐可不是那种只会袖手看着朋友烦恼的人。	
443287	琪亚娜说得对，互相分担烦恼才是朋友。要是看着对方烦恼而又什么都不做，就称不上朋友了。	
443288	其实……	
443289	……	
443290	哎，就是让不上学的家伙重新来上课就行了吧。	
443291	让拒绝登校的学生重返校园，的确是个棘手的问题。	
443292	这有什么难的，直接拽出来不就行了。	
443293	那只会让情况变得更糟糕吧！	
