TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
729892	迅速通知他们，然后直接去下一个地点。	
729893	前往宿舍区召集猎兵。	
729894	和猎犬09谈谈。	
729895	迅速通知他们，然后直接去下一个地点。	
729896	和猎犬04谈谈。	
729897	迅速通知他们，然后直接去下一个地点。	
729898	前往射击室召集猎兵。	
729899	和猎犬06谈谈。	
729900	迅速通知他们，直接前往会议室。	
729901	和猎犬08谈谈。	
729902	迅速通知他们，直接前往会议室。	
729903	搭乘电梯，前往会议室，开始战前会议。	
729904	……踩死了多少拦路的老鼠？	
729905	搞定，通讯模块已经屏蔽，准备好了吗？	
729906	等不及了。	
729907	旅行第四十一天#n清晨。	
729908	——[警报，警报，E3舱室的未知单位，请表明你的身份。否则我们将立即开火。]——	
729909	无所谓，开火吧，来点音乐，一同起舞吧。	
729910	咳咳……早知道……早知道……	
729911	来，张嘴喝。	
729912	唔……！	
729913	现在你体内的金属含量够我拼个航模了，告诉我山之座号战舰的智能核心启动码。你能死得痛快点。	
729914	QVZ3-081B……3VD5-KV3T。	
729915	好怀念，上一次在舰桥驾驭战舰，应该是三十年前了。	
729916	智能核心，检测通讯模块，我已经修复了。拍拍？	
729917	——[通讯模块，启用中。]——	
729918	再叫两声。	
729919	小东西……你这不知死活的……	
729920	音频采样完毕，已经可以模拟艾斯摩尔上校的声线。	
729921	智能核心，装载我刚刚接入的插件，然后为我联系迦楼罗号舰长。	
729922	——[通讯申请中……已接通。]——	
729923	达斯丁爵士，我是艾斯摩尔上校，向您致敬。	
729924	——[向您致敬，上校阁下，是发现了寒铁的行踪吗？]——	
729925	那倒没有，我的副官向我报告在刚刚的例行消防检查中，抓到了四个伪造了身份的低级军官，他们自称为达斯丁爵士您效命。	
729926	——[什么？这……这是对我名誉的诬蔑，艾斯摩尔上校，这件事情只有可能是兰开斯特阁下挑拨我们联盟的……]——	
729927	稍等，卡斯帕尔你说什么！？舰桥里有交火！？达斯丁你这两面三刀的……！	
729928	哔！	
729929	好，通话结束，智能核心，现在开始——撞击觉悟号。	
