TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
488269	你是认真的吗。	
488270	我们这次行动的目的，是防止律者过早觉醒。	
488271	在这个结局的未来，世界并没有灭亡。	
488272	所以杏怎么样根本无所谓吗……	
488273	那可是我们的家人！	
488274	布洛妮娅。	
488275	你所寻找的道路正是如此。	
488276	这个世界十分脆弱，经不起半点冲击。	
488277	一个小小的变量，也会让原本规定好的轨迹发生改变。	
488278	在满足自己一时私欲时，你必须承担这份可能毁灭世界的责任。	
488279	你有这样的勇气和实力吗。	
488280	……	
488281	因为开心而冲昏头脑，布洛妮娅都忘记了。	
488282	这才是妈妈强大的地方。	
488283	真正意义上可以舍弃一切，不择手段完成目标的冷酷。	
488284	布洛妮娅早就知道……	
488285	这份永不动摇的信念，其实才是布洛妮娅一直的追求。	
488286	只是渐渐地变得视而不见。	
488287	布洛妮娅……应该……	
488288	做不出选择。	
488289	说什么想找到坚定为未来而战的理由……	
488290	从头到尾都在拒绝的不就是布洛妮娅自己。	
488291	你变弱了，布洛妮娅。	
488292	对不起……	
488293	我不要你的道歉。	
488294	……	
488295	你是无法再找到那份决意了。	
488296	就此放弃，永远退出前线吧。	
488297	等一下，妈妈……	
488298	砰！	
488299	呜……	
488300	这样的你只会碍手碍脚。	
488301	自己跪在这反省吧。	
488302	布洛妮娅还可以的……只要再给一点点时间。	
488303	不要走。	
488304	不要……	
488305	妈……妈……	
488306	妈妈越走越远，她的身影也逐渐消失。	
488307	世界，再一次变得黑暗。	
488308	不行……	
488309	布洛妮娅，要去救杏。	
488310	这么一来就和之前没什么两样。	
488311	甚至在你的干涉下，会发生更坏的结局。	
488312	但是……	
488313	布洛妮娅，你知道阻止杏意味着什么吗。	
488314	布洛妮娅……不清楚。但她是布洛妮娅的家人，那是绝对不能放弃的。	
488315	……	
488316	你可以通过暗处的攻击，阻止这里的自己杀掉杏。	
488317	但与此同时，你便会受到杏的攻击，死的人会是你。	
488318	在这样的情况下，律者也会因情绪波动活化。	
488319	最终我们的努力全部化为灰烬。	
488320	布洛妮娅可以当面阻止她们。	
