TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
507488	前往锻造社	
507489	询问锻造社同学	
507490	前往锻造社	
507491	询问锻造社同学	
507492	前往自习室	
507493	询问天亦葵	
507494	在办公室门口耐心等待，或许会等到相关的同学过来。	
507495	<textmap=507494>#n#n向前来的学生会同学说明原委，并从她手上取得钥匙。	
507496	前往自习室，找到希露的同班同学天亦葵，或许她手中会有学生会办公室的钥匙。	
507497	<textmap=507496>#n#n向天亦葵同学说明原委，并从她手上取得钥匙。	
507498	收集了一波线索以后，信息和谜团都同样浮现了出来。不管怎样，作为委托人的米梅都是最重要的，回去告知她现在的进度，并获得更多信息吧。	
507499	<textmap=507498>#n#n将自己手中的现有材料展示给米梅，看看能否得到一些线索。	
507500	No.04序列 Lv.3	
507501	No.04序列 Lv.4	
507502	No.04序列 Lv.MAX	
507503	手枪武器造成的伤害提升	
507504	霰弹武器造成的伤害提升	
507505	通关时回复4点行动点	
507506	E-1	
507507	E-2	
507508	E-3	
507509	E-4	
507510	E-5	
507511	E-6	
507512	T-1	
507513	T-2	
507514	T-3	
507515	T-4	
507516	T-5	
507517	T-6	
507518	B-1	
507519	B-2	
507520	B-3	
507521	B-4	
507522	B-5	
507523	B-6	
507524	R-1	
507525	R-2	
507526	R-3	
507527	R-4	
507528	R-5	
507529	R-6	
507530	K-1	
507531	K-2	
507532	K-3	
507533	K-4	
507534	K-5	
507535	K-6	
507536	EX-1	
507537	EX-2	
507538	EX-3	
507539	EX-4	
507540	困难与恐惧，无法阻拦探求未知的心	
507541	困难与恐惧，无法阻拦探求未知的心	
507542	困难与恐惧，无法阻拦探求未知的心	
507543	困难与恐惧，无法阻拦探求未知的心	
507544	困难与恐惧，无法阻拦探求未知的心	
507545	困难与恐惧，无法阻拦探求未知的心	
507546	困难与恐惧，无法阻拦探求未知的心	
507547	困难与恐惧，无法阻拦探求未知的心	
507548	困难与恐惧，无法阻拦探求未知的心	
507549	困难与恐惧，无法阻拦探求未知的心	
507550	困难与恐惧，无法阻拦探求未知的心	
