0	221	14254
1	14255	20905
2	20906	29942
3	29943	54058
4	54059	59058
5	59059	65079
6	65080	70131
7	70132	76098
8	76099	82079
9	82080	95515
10	95516	110503
11	110504	143479
12	143480	182947
13	182948	187948
14	187949	192948
15	192949	197949
16	197950	207001
17	207002	230688
18	230689	252600
19	252601	263883
20	263884	296425
21	296426	302814
22	302815	310009
23	310010	342818
24	342819	355064
25	355065	433519
26	433520	443262
27	443263	448262
28	448263	453262
29	453263	458262
30	458263	463262
31	463263	468262
32	468263	473262
33	473263	478268
34	478269	483268
35	483269	488268
36	488269	493268
37	493269	498268
38	498269	507487
39	507488	540432
40	540433	545903
41	545904	570025
42	570026	632076
43	632077	654354
44	654355	704874
45	704875	709888
46	709889	714891
47	714892	719891
48	719892	724891
49	724892	729891
50	729892	735341
51	735342	2002670
52	2002671	2007670
53	2007671	2999999
