TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
498269	我想要情报。	
498270	瘟疫实验室的情报，你应该能获取才对。	
498271	我记得那里每次实验都会有不少奄奄一息的实验体送出，这些实验体一定有处理的去处，我希望你能帮我找到。	
498272	……	
498273	最近我收到线报，有人袭击了瘟疫实验室。	
498274	呃！？	
498275	我知道不是你。	
498276	由于实验室被袭击，转移的人也会相应变多，这是个很好的机会，我会全力去追踪的。	
498277	嗯……	
498278	最后一点。我希望……	
498279	当最后一点请求提出的时候，奥托彻底明白了卡莲计划的全貌。	
498280	虽然打定主意不去阻拦，但他这一瞬间还是没有忍住，提出了质疑。	
498281	这样会不会太冒险了？！	
498282	……	
498283	卡莲没有第一时间回答这个问题。	
498284	她将目光投向炉火，壁炉里薪柴正在火焰中静静地燃烧。	
498285	没有关系。	
498286	为了拯救之道，我一定会成功的。	
498287	如果是你的话，无论发生什么……你也一定能利用起来。	
498288	请好好使用，这把利刃。	
498289	奥托明白了她那无法逆转的意志。	
498290	他叹息一声，站起身，准备为卡莲的筹划而做出行动。	
498291	……	
498292	几天之后，随同情报，以及奥托传信的信纸外，还有一件新的武装。	
498293	这是……	
498294	谢谢你……奥托。	
498295	她喃喃自语着。	
498296	需要我帮你压阵么？	
498297	符华殿下！？	
498298	说的也是，不可能瞒过你的。	
498299	知道她计划的符华露出担心的表情，但卡莲摇了摇头。	
498300	没关系，符华殿下。	
498301	你一心一意剪除崩坏，但我的计划却是人与人之间的争斗。倘若被卷入其中，到时候符华殿下你一定会左右为难的。	
498302	而且……如果连这个关隘都迈不过去，我又怎么能拯救整个天命都城的居民呢？	
498303	听见卡莲话中所蕴含坚决的意志，符华点点头。	
498304	直到这一刻，她终于认可，卡莲确实具有实现她所构想的计划的能力和决心。	
498305	拿起武器，将信纸仔细看过并藏好，卡莲笑了起来，身上洋溢出一股强大而自信的气质。	
498306	符华殿下，我的战斗，终于要开始了。	
498307	……	
498308	其实。	
498309	一直隐隐有着怀疑。	
498310	怀疑自己的道路。	
498311	怀疑自己的信仰。	
498312	怀疑自己的决心。	
