TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
54059	哇~~~~~好棒！！！！	
54060	没想到吼姆的力量也影响到了芽衣姐姐的内心，看来每天抱着吼姆的成果还是非常显著的。	
54061	芽衣姐姐的心绪已经好转了，接下来只要想办法找到侵入的崩坏源，将意识恢复就行了。	
54062	从刚才的情况来看，突破口一定就在这里。	
54063	芽衣，你最近有什么心事么？如果可以的话愿意告诉布洛妮娅么。	
54064	心事么……没有什么啦~芽衣一直都过得很开心哦~	
54065	但是从芽衣的脸上布洛妮娅看到的更多是悲伤的神情，是不是和你的父亲有关。	
54066	我说没有就是没有啊！！！	
54067	呜！！布洛妮娅姐姐……对不起。	
54068	您的父亲进行的那个研究十分危险，布洛妮娅建议与父亲保持距离，不然很可能会……	
54069	为什么……为什么大家都要让我和父亲大人分开呢，明明芽衣只要和父亲大人在一起就满足了……为什么。	
54070	警报！检测到崩坏源反应！	
54071	这个反应是从芽衣姐姐身上发出的……	
54072	就连父亲大人也一直离我而去……	
54073	芽衣……	
54074	不要过来！	
54075	呲啦！！！	
54076	这个电磁场是从芽衣姐姐身体里面释放的崩坏能形成的么……	
54077	不是的！这个是……芽衣只是生病了而已！就是因为生病了，所以父亲大人才离我越来越远……	
54078	死士：吼吼吼！！！	
54079	死士又被蔓延的崩坏能吸引过来了么……芽衣，我们得立刻离开这里。	
54080	布洛妮娅姐姐！？我们要去哪？	
54081	布洛妮娅姐姐！！父亲大人还在宅邸里面！	
54082	不行，里面太危险了。	
54083	放开我！父亲大人！！！	
54084	死士：吼吼吼！！	
54085	糟糕。	
54086	给我走开啦！！！	
54087	呲啦！！！！！	
54088	呃！	
54089	这股强烈的崩坏能反应，果然这个才是罪魁祸首。	
54090	父亲大人！你在哪里！！	
54091	死士：吼吼吼！！	
54092	看来没时间考虑了，必须立刻追上去。	
54093	成功了……终于成功了！！	
54094	父亲大人！您没事吧！	
54095	芽衣……来的正好，我已经研究出治好你的病的方法了！只要服下这个药剂，就能将崩坏能从身体中分离出来！	
54096	不要靠近他，那个东西很危险。	
