TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
29943	累计击败杏10次	
29944	根源回归·10	
29945	忠实粉丝	
29946	元气应援	
29947	参与3次崩坏偶像祭练习关卡	
29948	参与3次live攻防战关卡	
29949	沉睡之城·1	
29950	沉睡之城·2	
29951	沉睡之城·3	
29952	欧洲血统·1	
29953	欧洲血统·2	
29954	欧洲血统·3	
29955	击败3次蔷薇领主欧若拉	
29956	击败10次蔷薇领主欧若拉	
29957	击败25次蔷薇领主欧若拉	
29958	重置1次夜访荆棘城活动祈愿商店	
29959	重置2次夜访荆棘城活动祈愿商店	
29960	重置4次夜访荆棘城活动祈愿商店	
29961	前方高萌	
29962	爱的供养	
29963	存活确认	
29964	迷の感动	
29965	完结撒花	
29966	通关10次任意哔哩哔哩空间关卡	
29967	通关30次任意哔哩哔哩空间关卡	
29968	通关50次任意哔哩哔哩空间关卡	
29969	通关70次任意哔哩哔哩空间关卡	
29970	通关100次任意哔哩哔哩空间关卡	
29971	「風」	
29972	「花」	
29973	「雪」	
29974	「月」	
29975	达成千影物语6个隐藏条件	
29976	达成千影物语12个隐藏条件	
29977	达成千影物语18个隐藏条件	
29978	达成千影物语所有隐藏条件	
29979	共同幸福	
29980	绽放火花	
29981	正义的事业	
29982	另一个故事	
29983	爱的信物	
29984	我就不行吗	
29985	双重喜悦	
29986	为何会这样	
29987	温柔是谎言	
29988	君望永远	
29989	收集10个「去年的巧克力」	
29990	收集20个「去年的巧克力」	
29991	收集30个「去年的巧克力」	
29992	收集40个「去年的巧克力」	
29993	收集50个「去年的巧克力」	
29994	收集60个「去年的巧克力」	
29995	收集70个「去年的巧克力」	
29996	收集80个「去年的巧克力」	
29997	收集90个「去年的巧克力」	
29998	收集100个「去年的巧克力」	
29999	栀子芳华	
30000	在开学应援礼包中获得姬子·栀子兑换券	
30001	在崩坏降临的前一天晚上，我彻夜未眠…	I was like really excited yesterday and stayed up all night...
