DialogueID	Type	UnLockLevelID	DialogueText	Repeatable	ChoiceID	RoleID	RoleStorySide	faceid	RoleMotion	isMotionFirst	RoleDelay	ItemShowCaseID	CGID	BGID	CGLocation	CGScale	EffectID	isEffectFirst	EffectDelay	EffectDuration	EffectTime	EffectPara	SoundID	SoundDelay	SoundDuration	BGMID	SpineCG	SpineCGAction	RoleDisplayOff	RoleOverLap	BGMType	SkipDisabled
1	4	94	TEXT250925	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250926	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250927	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250928	0	0	103	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250929	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250930	0	0	103	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250931	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250932	0	0	103	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250933	0	0	0	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250934	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250935	0	0	201	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250936	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250937	0	0	201	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250938	0	0	0	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250939	0	0	103	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250940	0	0	201	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250941	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250942	0	0	0	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250943	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	94	TEXT250944	0	0	201	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250945	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250946	0	0	201	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250947	0	0	102	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250948	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250949	0	0	103	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250950	0	0	203	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	107	TEXT250951	0	0	101	0	0	0	0	0	0	0	0	0,0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
