DialogueID	Type	UnLockLevelID	DialogueText	ChoiceID	RoleID	FaceID	RoleStorySide	RoleOverLap	RoleDisplayOff	RoleMotion	isMotionFirst	RoleDelay	EffectID	isEffectFirst	EffectDelay	EffectDuration	EffectPara	BGID	CGID	CGLocation	CGScale	ItemShowCaseID	SoundID	SoundDelay	SoundDuration	BGMID	BGMtype	SpineCG	SpineCGAction	SkipDisabled	StoryType
剧情编号（从10001开始）	剧情解锁类型	解锁对应的关卡ID	文本TextmapID	选项ID	角色ID	表情	立绘显示位置	立绘重叠开关	立绘隐藏开关	立绘动作	动作播放时机	动作延时播放时间	特效类型	特效播放时机	特效延时播放时间	特效持续时间	特效参数	背景	CG	CG坐标	CG大小	物品显示	音效	音效延时播放时间	音效持续时间	背景音乐	背景音乐类型	SpineCG	SpineCG动作	禁用跳过功能开关	故事类型
Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client
int	int	list<int>	int	int	int	int	int	int	int	int	int	float	List<int>	List<int>	List<float>	List<int>	string	string	string	string	float	string	int	float	int	int	int	string	string	int	int
10001	3	108442	714272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	0	0	0	0	0	2
10001	3	108442	714273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714274	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714276	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714279	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714281	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714282	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714283	0	217	4	2	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
10001	3	108442	714285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	019/027_1280x720	0	0	0	0	0	0	0	71	0	0	0	0	2
