TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
263884	玩家每杀死一个敌人伤害提升	
263885	玩家每杀死一个敌人伤害降低	
263886	连杀暴击伤害提升	
263887	连杀移动速度提升	
263888	连杀移动速度提升	
263889	连杀暴击伤害提升	
263890	连杀复活	
263891	连杀回血回弹	
263892	连杀复活	
263893	连杀暴击伤害提升	
263894	连杀移动速度提升	
263895	连杀移动速度提升	
263896	连杀暴击伤害提升	
263897	连杀回血回弹	
263898	连杀暴击伤害提升	
263899	连杀复活	
263900	怪物HP总量提升	
263901	怪物HP总量提升	
263902	怪物移动速度提升	
263903	怪物攻击提升	
263904	怪物HP总量提升	
263905	怪物HP总量提升	
263906	怪物移动速度提升	
263907	怪物HP总量提升	
263908	怪物攻击提升	
263909	怪物移动速度提升	
263910	怪物攻击提升	
263911	怪物HP总量提升	
263912	怪物HP总量提升	
263913	怪物攻击提升	
263914	主人的暴击率提高	
263915	逃离娃娃机	
263916	主人的暴击率提高	
263917	逃离娃娃机	
263918	主人的暴击率提高	
263919	主人的弹药量提高	
263920	逃离娃娃机	
263921	主人的弹药量提高	
263922	逃离娃娃机	
263923	主人的弹药量提高	
263924	主人造成的全伤害提高	
263925	主人造成的全伤害提高	
263926	逃离娃娃机	
263927	逃离娃娃机	
263928	主人的生命值提高	
263929	主人的生命值提高	
263930	主人的生命值提高	
263931	主人的生命值提高	
263932	主人的生命值提高	
263933	主人的移动速度提高	
263934	主人的移动速度提高	
263935	主人的移动速度提高	
263936	主人的移动速度提高	
263937	主人的移动速度提高	
263938	主人的弹药回复提高	
263939	主人的弹药回复提高	
263940	敌人攻击力提高	
263941	敌人攻击力提高	
263942	敌人受到的伤害提高	
263943	敌人受到的伤害提高	
263944	敌人受到的伤害提高	
263945	敌人受到的伤害提高	
263946	敌人受到的伤害提高	
263947	敌人移动速度提高	
263948	敌人移动速度提高	
263949	敌人移动速度提高	
263950	敌人移动速度提高	
263951	敌人移动速度提高	
263952	敌人生命提高	
263953	敌人生命提高	
263954	敌人免疫控制	
263955	敌人免疫控制	
